cover_pic,link,title,rating,quote
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,https://movie.douban.com/subject/1292849/,拯救大兵瑞恩,8.9,美利坚精神输出大片No1.
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,https://movie.douban.com/subject/26580232/,看不见的客人,8.7,你以为你以为的就是你以为的。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,https://movie.douban.com/subject/1291832/,低俗小说,8.8,故事的高级讲法。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,https://movie.douban.com/subject/1294639/,勇敢的心,8.8,史诗大片的典范。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,https://movie.douban.com/subject/1292370/,剪刀手爱德华,8.7,浪漫忧郁的成人童话。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,https://movie.douban.com/subject/1293544/,沉默的羔羊,8.8,安东尼·霍普金斯的顶级表演。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452088641.jpg,https://movie.douban.com/subject/1293172/,末代皇帝,9.0,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,https://movie.douban.com/subject/1418019/,大闹天宫,9.3,经典之作，历久弥新。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,https://movie.douban.com/subject/1292343/,蝴蝶效应,8.7,人的命运被自己瞬间的抉择改变。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,https://movie.douban.com/subject/2149806/,入殓师,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,https://movie.douban.com/subject/1292679/,春光乍泄,8.8,爱情纠缠，男女一致。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,https://movie.douban.com/subject/1292656/,心灵捕手,8.8,人生中应该拥有这样的一段豁然开朗。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,https://movie.douban.com/subject/1295038/,哈利·波特与魔法石,8.8,童话世界的开端。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1820615077.jpg,https://movie.douban.com/subject/3072124/,玛丽和马克思,8.9,你是我最好的朋友，你是我唯一的朋友 。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p967457079.jpg,https://movie.douban.com/subject/1291875/,阳光灿烂的日子,8.8,一场华丽的意淫。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,https://movie.douban.com/subject/11525673/,布达佩斯大饭店,8.8,小清新的故事里注入了大历史的情怀。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg,https://movie.douban.com/subject/2334904/,禁闭岛,8.7,昔日翩翩少年，今日大腹便便。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,https://movie.douban.com/subject/1297359/,幽灵公主,8.8,人与自然的战争史诗。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,https://movie.douban.com/subject/1297630/,第六感,8.8,深入内心的恐怖，出人意料的结局。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,https://movie.douban.com/subject/1305487/,猫鼠游戏,8.8,骗子大师和执著警探的你追我跑故事。 
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,https://movie.douban.com/subject/1291999/,重庆森林,8.7,寂寞没有期限。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,https://movie.douban.com/subject/6985810/,狩猎,9.1,人言可畏。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453720880.jpg,https://movie.douban.com/subject/1297192/,致命ID,8.7,最不可能的那个人永远是最可能的。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg,https://movie.douban.com/subject/1418834/,断背山,8.7,每个人心中都有一座断背山。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,https://movie.douban.com/subject/1291545/,大鱼,8.7,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,https://movie.douban.com/subject/3008247/,穿条纹睡衣的男孩,8.9,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,https://movie.douban.com/subject/1298070/,加勒比海盗,8.6,约翰尼·德普的独角戏。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,https://movie.douban.com/subject/4268598/,告白,8.7,没有一人完全善，也没有一人完全恶。
https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1962839732.jpg,https://movie.douban.com/subject/1305164/,甜蜜蜜,8.8,相逢只要一瞬间，等待却像是一辈子。
https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2119675128.jpg,https://movie.douban.com/subject/1292434/,一一,8.9,我们都曾经是一一。
